ID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,HybridID,SecondHandImportID
10,1,2,4,1,10,1,0,0
20,1,2,4,12,10,1,0,0
25,1,2,4,12,11,1,0,0
26,1,2,4,12,12,1,0,0
30,1,2,4,1,11,1,0,0
40,1,2,4,1,12,1,0,0
50,1,2,4,13,13,1,0,0
60,1,2,4,13,13,1,0,0
70,1,3,1,1,1,1,0,0
80,1,3,1,1,14,1,0,0
81,1,3,1,1,15,1,0,0
82,1,3,1,1,16,1,0,0
83,1,3,1,1,17,1,0,0
84,1,3,1,1,18,1,0,0
85,1,3,1,1,19,1,0,0
86,1,3,1,1,20,1,0,0
87,1,3,1,1,21,1,0,0
90,1,3,1,1,3,1,0,0
91,1,3,1,1,14,1,2,0
92,1,3,1,1,15,1,2,0
93,1,3,1,1,16,1,2,0
94,1,3,1,1,17,1,2,0
95,1,3,1,1,18,1,2,0
96,1,3,1,1,19,1,2,0
97,1,3,1,1,20,1,2,0
98,1,3,1,1,21,1,2,0
100,1,3,1,1,4,1,0,0
110,1,3,1,1,5,1,0,0
120,1,3,1,1,6,1,0,0
130,1,3,2,1,1,1,0,0
140,1,3,2,1,14,1,0,0
150,1,3,2,1,3,1,0,0
160,1,3,2,1,4,1,0,0
161,1,3,2,1,14,1,2,0
162,1,3,2,1,15,1,2,0
163,1,3,2,1,16,1,2,0
164,1,3,2,1,17,1,2,0
165,1,3,2,1,18,1,2,0
166,1,3,2,1,19,1,2,0
167,1,3,2,1,20,1,2,0
168,1,3,2,1,21,1,2,0
170,1,3,2,1,5,1,0,0
171,1,3,2,1,15,1,0,0
172,1,3,2,1,16,1,0,0
173,1,3,2,1,17,1,0,0
174,1,3,2,1,18,1,0,0
175,1,3,2,1,19,1,0,0
176,1,3,2,1,20,1,0,0
177,1,3,2,1,21,1,0,0
181,1,3,2,1,6,1,0,0
190,1,3,3,1,1,1,0,0
191,1,3,3,1,14,1,2,0
192,1,3,3,1,15,1,2,0
193,1,3,3,1,16,1,2,0
194,1,3,3,1,17,1,2,0
195,1,3,3,1,18,1,2,0
196,1,3,3,1,19,1,2,0
197,1,3,3,1,20,1,2,0
198,1,3,3,1,21,1,2,0
200,1,3,3,1,14,1,0,0
201,1,3,3,1,16,1,0,0
202,1,3,3,1,17,1,0,0
203,1,3,3,1,18,1,0,0
204,1,3,3,1,19,1,0,0
205,1,3,3,1,20,1,0,0
206,1,3,3,1,21,1,0,0
210,1,3,3,1,3,1,0,0
220,1,3,3,1,4,1,0,0
230,1,3,3,1,5,1,0,0
240,1,3,3,1,6,1,0,0
245,1,3,3,1,15,1,0,0
250,1,3,2,2,1,1,0,0
251,1,3,2,2,15,1,0,0
252,1,3,2,2,16,1,0,0
253,1,3,2,2,17,1,0,0
254,1,3,2,2,18,1,0,0
255,1,3,2,2,19,1,0,0
256,1,3,2,2,20,1,0,0
257,1,3,2,2,21,1,0,0
260,1,3,2,2,14,1,0,0
261,1,3,2,8,7,1,0,0
265,1,3,1,2,14,1,0,0
266,1,3,1,2,15,1,0,0
267,1,3,1,2,16,1,0,0
268,1,3,1,2,17,1,0,0
269,1,3,1,2,18,1,0,0
270,1,3,2,2,3,1,0,0
271,1,3,1,2,19,1,0,0
272,1,3,1,2,20,1,0,0
273,1,3,1,2,21,1,0,0
275,1,3,1,12,6,1,0,0
276,1,3,1,12,14,1,0,0
277,1,3,1,13,13,1,0,0
278,1,3,1,13,13,1,0,0
280,1,3,2,2,4,1,0,0
290,1,3,2,2,5,1,0,0
291,1,3,2,8,8,1,0,0
292,1,3,2,8,9,1,0,0
295,1,3,1,2,5,1,0,0
300,1,3,2,2,6,1,0,0
302,1,3,2,1,6,1,1,0
305,1,3,1,2,6,1,0,0
310,1,3,3,2,1,1,0,0
320,1,3,2,1,14,1,1,0
321,1,3,2,1,15,1,1,0
322,1,3,2,1,16,1,1,0
323,1,3,2,1,17,1,1,0
324,1,3,2,1,18,1,1,0
325,1,3,2,1,19,1,1,0
326,1,3,2,1,20,1,1,0
327,1,3,2,1,21,1,1,0
330,1,3,3,2,3,1,0,0
340,1,3,3,2,4,1,0,0
350,1,3,3,2,5,1,0,0
351,1,3,3,8,7,1,0,0
360,1,3,3,2,6,1,0,0
361,1,3,3,8,8,1,0,0
362,1,3,3,1,6,1,1,0
363,1,3,3,2,14,1,0,0
364,1,3,1,12,15,1,0,0
365,1,3,3,13,13,1,0,0
