EmissionID,Year,TechID,ETypeID,Value
14,2012,10,ET,0.31090435
14,2012,20,ET,2.47852e-6
14,2012,25,ET,0.282586463
14,2012,30,ET,18.10927455
14,2012,40,ET,70.73060411
14,2012,70,ET,6.343341688
14,2012,80,ET,3755.681653
14,2012,90,ET,2.802234774
14,2012,91,ET,2.16619e-16
14,2012,100,ET,114.6704918
14,2012,110,ET,290.7392554
14,2012,120,ET,263.7038625
14,2012,130,ET,12.35497763
14,2012,140,ET,8301.674156
14,2012,150,ET,5.550903555
14,2012,160,ET,187.4124417
14,2012,161,ET,6.69018612
14,2012,170,ET,739.2146534
14,2012,181,ET,638.5512376
14,2012,190,ET,2.004375104
14,2012,191,ET,5.464709451
14,2012,200,ET,4086.954047
14,2012,210,ET,0.945307078
14,2012,220,ET,37.55691287
14,2012,230,ET,227.8022839
14,2012,240,ET,273.7462412
14,2012,250,ET,1.577424281
14,2012,260,ET,3682.947157
14,2012,261,ET,0.679808779
14,2012,265,ET,4488.628423
14,2012,270,ET,0.737071997
14,2012,275,ET,8.57596e-18
14,2012,276,ET,0.263402518
14,2012,280,ET,48.15471538
14,2012,290,ET,158.6641227
14,2012,291,ET,1.37583023
14,2012,295,ET,148.7139721
14,2012,300,ET,307.7022826
14,2012,302,ET,0.360675194
14,2012,305,ET,220.8102031
14,2012,310,ET,0.318986543
14,2012,320,ET,414.9197431
14,2012,330,ET,0.149159599
14,2012,340,ET,19.15125884
14,2012,350,ET,84.33714722
14,2012,351,ET,1.32442e-4
14,2012,360,ET,179.9961753
14,2012,361,ET,0.336590609
14,2012,362,ET,9.22921e-4
14,2012,363,ET,3034.194299
14,2012,385,ET,1.02283e-8
14,2012,386,ET,0.030113166
14,2012,400,ET,78.97264846
14,2012,410,ET,0.850129093
14,2012,411,ET,0.329935815
14,2012,420,ET,4.5508399999999996e-21
14,2012,430,ET,0.004156257
14,2012,431,ET,0.83185934
14,2012,432,ET,5.30709e-15
14,2012,433,ET,5.69166e-15
14,2012,441,ET,9.42347e-16
14,2012,442,ET,0.895515849
14,2012,443,ET,1.26817e-14
