EmissionID,Year,TechID,ETypeID,ED_PFix,Value,Unit
9,2012,10,ED,M,1.1570375948900001e-4,Mg
9,2012,30,ED,M,0.0038345454463,Mg
9,2012,40,ED,M,0.0015659494511399998,Mg
9,2012,70,ED,M,5.237102150600001e-4,Mg
9,2012,80,ED,M,8.5629114424e-5,Mg
9,2012,90,ED,M,1.4798277342999997e-5,Mg
9,2012,100,ED,M,8.5108767516e-5,Mg
9,2012,110,ED,M,1.3956279871e-4,Mg
9,2012,120,ED,M,7.3602020081e-5,Mg
9,2012,130,ED,M,8.631828975199999e-4,Mg
9,2012,140,ED,M,1.7987314644999999e-4,Mg
9,2012,150,ED,M,3.4121990661000005e-5,Mg
9,2012,160,ED,M,1.1947504895200001e-4,Mg
9,2012,161,ED,M,1.0138854999999999e-8,Mg
9,2012,170,ED,M,3.0370459767e-4,Mg
9,2012,181,ED,M,1.5171714383e-4,Mg
9,2012,190,ED,M,1.3235839474e-4,Mg
9,2012,191,ED,M,1.5208433000000002e-8,Mg
9,2012,200,ED,M,7.143114110100001e-5,Mg
9,2012,210,ED,M,5.880778975999999e-6,Mg
9,2012,220,ED,M,1.7140034740999996e-5,Mg
9,2012,230,ED,M,6.72774536e-5,Mg
9,2012,240,ED,M,4.7397243104000005e-5,Mg
9,2012,250,ED,M,3.01665222e-7,Mg
9,2012,260,ED,M,2.1227876343000003e-5,Mg
9,2012,261,ED,M,,Mg
9,2012,265,ED,M,2.0797357284000004e-5,Mg
9,2012,270,ED,M,9.378709199999998e-8,Mg
9,2012,280,ED,M,4.290095828999999e-6,Mg
9,2012,290,ED,M,9.661249154e-6,Mg
9,2012,291,ED,M,,Mg
9,2012,295,ED,M,1.1864075896999999e-5,Mg
9,2012,300,ED,M,1.5987109541e-5,Mg
9,2012,302,ED,M,6.7276149e-8,Mg
9,2012,305,ED,M,1.5094295481000002e-5,Mg
9,2012,310,ED,M,1.0244336000000001e-7,Mg
9,2012,320,ED,M,3.6657107770000004e-06,Mg
9,2012,330,ED,M,3.2870729e-8,Mg
9,2012,340,ED,M,2.9740700220000003e-6,Mg
9,2012,350,ED,M,9.216965987000001e-6,Mg
9,2012,351,ED,M,,Mg
9,2012,360,ED,M,1.6797389359e-5,Mg
9,2012,361,ED,M,,Mg
9,2012,362,ED,M,1.272382e-10,Mg
9,2012,363,ED,M,3.0175529155e-5,Mg
9,2012,386,ED,M,3.8362569999999995e-11,Mg
9,2012,400,ED,M,5.36177145e-7,Mg
9,2012,410,ED,M,1.4599261000000001e-9,Mg
9,2012,411,ED,M,5.971737000000001e-10,Mg
9,2012,430,ED,M,9.089196999999999e-10,Mg
9,2012,431,ED,M,1.4903096000000002e-8,Mg
9,2012,442,ED,M,6.480465e-9,Mg
9,2012,460,ED,M,2.3576290000000004e-9,Mg
9,2012,461,ED,M,2.02128859e-7,Mg
9,2012,470,ED,M,1.8777301000000005e-11,Mg
9,2012,471,ED,M,1.32781605e-7,Mg
9,2012,611,ED,M,4.77855e-11,Mg
9,2012,620,ED,M,6.96353119e-7,Mg
9,2012,630,ED,M,6.597118167e-5,Mg
9,2012,631,ED,M,2.5638740000000003e-10,Mg
9,2012,640,ED,M,,Mg
9,2012,660,ED,M,2.4239900000000004e-13,Mg
9,2012,670,ED,M,,Mg
9,2012,690,ED,M,2.1236757700000001e-7,Mg
9,2012,691,ED,M,,Mg
9,2012,700,ED,M,1.574561885e-5,Mg
9,2012,720,ED,M,1.4637587029999999e-6,Mg
9,2012,810,ED,M,9.83618666e-7,Mg
9,2012,811,ED,M,,Mg
9,2012,850,ED,M,3.95944592e-7,Mg
9,2012,852,ED,M,8.019641e-9,Mg
9,2012,853,ED,M,5.47711e-10,Mg
9,2012,857,ED,M,1.9585900000000003e-10,Mg
9,2012,865,ED,M,5.4004266000000004e-8,Mg
9,2012,870,ED,M,3.578473669e-4,Mg
9,2012,890,ED,M,3.413587253e-4,Mg
9,2012,970,ED,M,1.2218877019999999e-4,Mg
9,2012,980,ED,M,9.605057826000001e-4,Mg
9,2012,1040,ED,M,3.4179829039999993e-4,Mg
9,2012,1041,ED,M,,Mg
9,2012,1130,ED,M,3.045313049999999e-4,Mg
9,2012,1131,ED,M,,Mg
9,2012,1132,ED,M,5.110730809e-5,Mg
9,2012,1142,ED,M,1.4807950400000001e-7,Mg
9,2012,1152,ED,M,1.212094007e-4,Mg
9,2012,1153,ED,M,8.915084455999999e-5,Mg
9,2012,1158,ED,M,4.9159392500000005e-5,Mg
9,2012,1159,ED,M,3.3004783060000005e-4,Mg
9,2012,1163,ED,M,8.999888494000001e-5,Mg
9,2012,1164,ED,M,,Mg
9,2012,1166,ED,M,9.135163542000001e-5,Mg
9,2012,1167,ED,M,,Mg
9,2012,1168,ED,M,5.698220000000001e-10,Mg
9,2012,1180,ED,M,2.548023e-9,Mg
9,2012,1200,ED,M,9.694572488e-5,Mg
9,2012,1220,ED,M,8.509747775999999e-4,Mg
9,2012,1221,ED,M,4.1473248999999994e-8,Mg
9,2012,1230,ED,M,1.5015804e-13,Mg
9,2012,1240,ED,M,2.3660618000000004e-7,Mg
9,2012,1301,ED,M,1.2776753e-8,Mg
9,2012,1320,ED,M,6.551637812e-4,Mg
9,2012,1340,ED,M,0.0016921735315999999,Mg
9,2012,1390,ED,M,0.0013030185800999997,Mg
9,2012,1391,ED,M,6.322904e-9,Mg
9,2012,1410,ED,M,1.1144022533000001e-4,Mg
9,2012,1450,ED,M,4.4025699253e-5,Mg
9,2012,1451,ED,M,1.1727164261000001e-4,Mg
9,2012,1452,ED,M,1.5438372191e-4,Mg
9,2012,1453,ED,M,9.772596794400002e-5,Mg
9,2012,1460,ED,M,0.0013207719496,Mg
9,2012,1461,ED,M,2.5430588e-8,Mg
9,2012,1462,ED,M,1.1045119999999999e-11,Mg
9,2012,1471,ED,M,6.4304211237e-5,Mg
9,2012,1510,ED,M,7.710707e-10,Mg
9,2012,1520,ED,M,1.1816721582999999e-4,Mg
9,2012,1530,ED,M,0.0011822323403,Mg
9,2012,1550,ED,M,7.15120309e-7,Mg
9,2012,1560,ED,M,9.532004641e-5,Mg
9,2012,1570,ED,M,0.0026205200544,Mg
9,2012,1590,ED,M,0.0023176153613,Mg
9,2012,1591,ED,M,1.37948958e-7,Mg
9,2012,1592,ED,M,1.4167180700000001e-7,Mg
9,2012,1610,ED,M,0.0018535273486,Mg
9,2012,1630,ED,M,1.6412302402e-4,Mg
9,2012,1640,ED,M,0.0019731883554,Mg
9,2012,1650,ED,M,1.3515340858e-4,Mg
9,2012,1660,ED,M,0.0037730402172000002,Mg
9,2012,1670,ED,M,0.0036276193510000002,Mg
9,2012,1671,ED,M,1.69711946e-7,Mg
9,2012,1680,ED,M,3.4548326799999994e-7,Mg
9,2012,1682,ED,M,0.0029943044672,Mg
9,2012,1730,ED,M,1.2544454310000002e-6,Mg
9,2012,2070,ED,M,2.9696174440000003e-5,Mg
9,2012,2080,ED,M,5.559725946e-5,Mg
9,2012,2120,ED,M,3.1337945610000006e-5,Mg
9,2012,2130,ED,M,1.6212812369999998e-5,Mg
9,2012,2190,ED,M,2.135410497e-5,Mg
9,2012,2240,ED,M,7.956728781000001e-6,Mg
9,2012,3010,ED,M,1.0938401330000001e-4,Mg
9,2012,3020,ED,M,1.243399711e-5,Mg
9,2012,3030,ED,M,3.3796694099999996e-4,Mg
9,2012,3040,ED,M,3.95398968e-5,Mg
9,2012,4010,ED,M,3.8506392000000007e-8,Mg
9,2012,4040,ED,M,1.9947270900000003e-7,Mg
9,2012,4050,ED,M,4.800416260000001e-6,Mg
9,2012,4060,ED,M,1.3870352299999999e-7,Mg
9,2012,4070,ED,M,1.549183502e-6,Mg
9,2012,4120,ED,M,9.776053467e-6,Mg
9,2012,4130,ED,M,1.1609912109000001e-4,Mg
9,2012,4140,ED,M,7.18183899e-6,Mg
9,2012,4150,ED,M,3.6151079099999994e-5,Mg
9,2012,4200,ED,M,8.162333984000001e-6,Mg
9,2012,4210,ED,M,7.356003785e-5,Mg
9,2012,4220,ED,M,2.386400177e-5,Mg
9,2012,4230,ED,M,5.990772551999999e-6,Mg
9,2012,5000,ED,M,1.1259675902999999e-5,Mg
9,2012,5001,ED,M,3.1399256459999994e-5,Mg
9,2012,5002,ED,M,4.3522823767e-5,Mg
9,2012,5003,ED,M,2.8636929765e-5,Mg
9,2012,5004,ED,M,1.7732093447e-5,Mg
9,2012,5012,ED,M,1.6044962302000002e-4,Mg
9,2012,5013,ED,M,4.1620224304e-4,Mg
9,2012,5014,ED,M,3.2459368315000003e-4,Mg
9,2012,5015,ED,M,3.3944954075000003e-4,Mg
9,2012,5016,ED,M,2.1303607721000003e-4,Mg
9,2012,5024,ED,M,2.8386889999999993e-12,Mg
9,2012,5025,ED,M,1.0382562e-8,Mg
9,2012,5033,ED,M,3.1985779999999997e-9,Mg
