EmissionID,Year,TechID,ETypeID,Value
13,2015,10,ET,4.54137832977989e-7
13,2015,25,ET,6.7215734983495e-7
13,2015,40,ET,2.84289362932756e-5
13,2015,50,ET,5.62122552306429e-17
13,2015,70,ET,6.8699138299181e-7
13,2015,80,ET,4.76771685535867e-6
13,2015,81,ET,2.81254911451204e-6
13,2015,90,ET,6.453825110923321e-7
13,2015,91,ET,1.482762398258e-13
13,2015,92,ET,3.1838067920846696e-10
13,2015,100,ET,6.64672022917677e-7
13,2015,110,ET,6.64672022917677e-7
13,2015,120,ET,6.46004458738529e-7
13,2015,130,ET,3.2962671113651e-7
13,2015,140,ET,4.76256344602013e-6
13,2015,150,ET,3.20593539681618e-7
13,2015,160,ET,3.28792735782135e-7
13,2015,161,ET,3.04293223729154e-9
13,2015,162,ET,3.37530292722104e-9
13,2015,170,ET,3.28792735782135e-7
13,2015,171,ET,2.6304148767356003e-6
13,2015,181,ET,3.17401512374336e-7
13,2015,190,ET,4.35437209740333e-8
13,2015,191,ET,1.69076077676085e-9
13,2015,192,ET,1.4034966375509598e-9
13,2015,200,ET,3.99005814472844e-6
13,2015,210,ET,4.47042367102283e-8
13,2015,220,ET,4.59462025846496e-8
13,2015,230,ET,4.59462025846496e-8
13,2015,240,ET,4.43479878701929e-8
13,2015,245,ET,2.19004471417651e-6
13,2015,250,ET,6.35096238402766e-8
13,2015,251,ET,1.40253481445175e-6
13,2015,260,ET,2.08539096969305e-6
13,2015,265,ET,2.7437617885608597e-6
13,2015,266,ET,2.59276648679935e-6
13,2015,270,ET,2.2797820422262e-8
13,2015,276,ET,8.51030983168868e-10
13,2015,280,ET,2.2797820422262e-8
13,2015,290,ET,2.3110112785578e-8
13,2015,291,ET,5.96053441291331e-28
13,2015,295,ET,4.182007538721801e-9
13,2015,300,ET,2.26927077642694e-8
13,2015,305,ET,4.0919637281125805e-9
13,2015,310,ET,2.0186579175504302e-8
13,2015,320,ET,1.21688636076267e-7
13,2015,321,ET,4.950931012105859e-7
13,2015,330,ET,2.04007891586199e-8
13,2015,340,ET,2.02991323534014e-8
13,2015,350,ET,2.07378342589754e-8
13,2015,360,ET,2.03510571773367e-8
13,2015,361,ET,4.2646527089725505e-28
13,2015,363,ET,1.71950768222026e-6
13,2015,364,ET,5.30697380983886e-10
13,2015,366,ET,1.2170282460647802e-6
13,2015,386,ET,1.89235114102871e-28
13,2015,400,ET,2.57479532919858e-8
13,2015,401,ET,1.25391733071031e-7
13,2015,411,ET,2.82627511535042e-28
13,2015,420,ET,1.03658435362917e-35
13,2015,433,ET,5.02023135467196e-28
13,2015,444,ET,7.4375028077566e-28
13,2015,461,ET,4.90191952520721e-8
13,2015,462,ET,2.26180026421095e-7
13,2015,471,ET,7.85179095422055e-9
13,2015,472,ET,5.24163613731813e-8
13,2015,515,ET,4.754082430561511e-10
13,2015,521,ET,5.49113071838341e-28
13,2015,531,ET,1.98201644868079e-28
13,2015,541,ET,1.5356584233318201e-28
13,2015,551,ET,5.170992271486041e-28
13,2015,611,ET,2.32749757756548e-10
13,2015,612,ET,7.42240266670708e-10
13,2015,620,ET,8.08145300744075e-8
13,2015,621,ET,6.19618559582495e-7
13,2015,630,ET,9.901913470249419e-8
13,2015,631,ET,9.70117291770865e-11
13,2015,632,ET,3.26975201498035e-10
13,2015,641,ET,2.7908746828231e-11
13,2015,642,ET,7.30838184318431e-11
13,2015,670,ET,5.32753314257718e-9
13,2015,690,ET,1.90513500252664e-9
13,2015,700,ET,9.88128612491478e-8
13,2015,720,ET,9.88128612491478e-8
13,2015,730,ET,6.96968221797051e-5
13,2015,810,ET,9.075648514195831e-8
13,2015,811,ET,8.74525713248568e-11
13,2015,850,ET,8.706223461401739e-8
13,2015,857,ET,1.89874846135175e-8
13,2015,865,ET,3.67659412399667e-9
13,2015,870,ET,3.26934284376767e-6
13,2015,890,ET,1.03400722635931e-4
13,2015,970,ET,3.2472275569124802e-6
13,2015,980,ET,2.7709083328205998e-6
13,2015,981,ET,4.88678209437841e-6
13,2015,991,ET,4.77506242622334e-9
13,2015,1040,ET,2.7709083328205998e-6
13,2015,1050,ET,2.59398966169875e-7
13,2015,1051,ET,2.58994709477273e-7
13,2015,1110,ET,9.62811017717786e-11
13,2015,1131,ET,4.72226228820299e-7
13,2015,1132,ET,1.44951950979273e-6
13,2015,1142,ET,5.14570476542138e-8
13,2015,1151,ET,3.54575284478276e-6
13,2015,1152,ET,7.915591867390769e-7
13,2015,1153,ET,4.59544994101351e-6
13,2015,1158,ET,7.902759190623681e-7
13,2015,1159,ET,7.902759190623681e-7
13,2015,1163,ET,7.902759190623681e-7
13,2015,1167,ET,7.33204325622076e-8
13,2015,1168,ET,5.30876952892493e-7
13,2015,1180,ET,1.29175319819997e-10
13,2015,1200,ET,2.13849657473368e-6
13,2015,1220,ET,7.0622454218570095e-6
13,2015,1221,ET,9.69285469970424e-7
13,2015,1222,ET,1.60551134282128e-7
13,2015,1251,ET,2.2280432105209198e-7
13,2015,1252,ET,1.0781601630539201e-7
13,2015,1261,ET,2.2280432105209198e-7
13,2015,1262,ET,1.0781601630539201e-7
13,2015,1280,ET,2.37250991033442e-7
13,2015,1301,ET,9.34993901313695e-7
13,2015,1302,ET,1.57210384844887e-7
13,2015,1365,ET,1.2107619455604798e-6
13,2015,1410,ET,1.47493680883514e-6
13,2015,1461,ET,6.227954253054299e-7
13,2015,1464,ET,2.9513722871467e-6
13,2015,1471,ET,8.57326886168027e-6
13,2015,1472,ET,3.20135297148113e-6
13,2015,1480,ET,1.75070738383923e-7
13,2015,1510,ET,1.73062425912028e-6
13,2015,1511,ET,3.6134170179644397e-7
13,2015,1520,ET,5.90858960456965e-7
13,2015,1530,ET,4.12554927379748e-6
13,2015,1541,ET,1.17532304618786e-7
13,2015,1542,ET,8.59627292399222e-8
13,2015,1552,ET,1.17532304618786e-7
13,2015,1553,ET,8.59627292399222e-8
13,2015,1560,ET,5.89592541048152e-7
13,2015,1570,ET,5.84000872771908e-7
13,2015,1590,ET,5.72817488611995e-7
13,2015,1592,ET,3.59862675715887e-7
13,2015,1603,ET,8.300015297426599e-8
13,2015,1610,ET,5.61634042562429e-7
13,2015,1612,ET,5.04541486758018e-7
13,2015,1613,ET,8.39357888990563e-7
13,2015,1615,ET,2.5544137802040397e-6
13,2015,1640,ET,1.34914284415336e-5
13,2015,1670,ET,2.1971047777347e-9
13,2015,1675,ET,1.3011546624575202e-6
13,2015,1680,ET,9.6629585189121e-7
