EmissionID,Year,TechID,ETypeID,ED_PFix,Value,Unit
9,2012,10,ED,M,1.1620896731799999e-4,Mg
9,2012,30,ED,M,0.0038511753412,Mg
9,2012,40,ED,M,0.00157283057897,Mg
9,2012,70,ED,M,5.284916761100001e-4,Mg
9,2012,80,ED,M,1.02602599852e-4,Mg
9,2012,90,ED,M,1.4926767659999997e-5,Mg
9,2012,100,ED,M,8.5973652394e-5,Mg
9,2012,110,ED,M,1.4136439604000003e-4,Mg
9,2012,120,ED,M,8.8191483233e-5,Mg
9,2012,130,ED,M,8.689717844199999e-4,Mg
9,2012,140,ED,M,2.1756694910000002e-4,Mg
9,2012,150,ED,M,3.4519777651000004e-5,Mg
9,2012,160,ED,M,1.2119591456600001e-4,Mg
9,2012,161,ED,M,1.4856832e-8,Mg
9,2012,170,ED,M,3.0933318765e-4,Mg
9,2012,181,ED,M,1.8351062950000002e-4,Mg
9,2012,190,ED,M,1.3270825361000002e-4,Mg
9,2012,191,ED,M,2.1229359999999997e-8,Mg
9,2012,200,ED,M,8.5852962359e-5,Mg
9,2012,210,ED,M,5.9285443399999996e-6,Mg
9,2012,220,ED,M,1.7369561951999998e-5,Mg
9,2012,230,ED,M,6.842651115e-5,Mg
9,2012,240,ED,M,5.6966659013e-5,Mg
9,2012,250,ED,M,2.9945196600000004e-7,Mg
9,2012,260,ED,M,2.1299450746999998e-5,Mg
9,2012,261,ED,M,,Mg
9,2012,265,ED,M,2.0867481360999995e-5,Mg
9,2012,270,ED,M,9.4647237e-8,Mg
9,2012,280,ED,M,4.329441169999999e-6,Mg
9,2012,290,ED,M,9.732754720000003e-6,Mg
9,2012,291,ED,M,,Mg
9,2012,295,ED,M,1.1951885996e-5,Mg
9,2012,300,ED,M,1.6041013789e-5,Mg
9,2012,302,ED,M,7.966073e-8,Mg
9,2012,305,ED,M,1.5145189847999998e-5,Mg
9,2012,310,ED,M,1.01822077e-7,Mg
9,2012,320,ED,M,4.340515936e-6,Mg
9,2012,330,ED,M,3.2907628e-8,Mg
9,2012,340,ED,M,2.977408771e-6,Mg
9,2012,350,ED,M,9.263986918e-6,Mg
9,2012,351,ED,M,,Mg
9,2012,360,ED,M,1.6815549631999996e-5,Mg
9,2012,361,ED,M,,Mg
9,2012,362,ED,M,1.4949759999999999e-10,Mg
9,2012,363,ED,M,3.0208155919e-5,Mg
9,2012,386,ED,M,4.801166e-11,Mg
9,2012,400,ED,M,6.299765330000001e-7,Mg
9,2012,410,ED,M,1.297418e-8,Mg
9,2012,411,ED,M,5.307008e-9,Mg
9,2012,430,ED,M,9.466611999999999e-10,Mg
9,2012,431,ED,M,1.556649e-8,Mg
9,2012,442,ED,M,6.746870999999999e-9,Mg
9,2012,460,ED,M,2.3655790000000005e-9,Mg
9,2012,461,ED,M,2.0281035300000004e-7,Mg
9,2012,470,ED,M,1.8797529000000004e-11,Mg
9,2012,471,ED,M,1.3292513599999997e-7,Mg
9,2012,611,ED,M,4.9824599999999995e-11,Mg
9,2012,620,ED,M,8.161958579999998e-7,Mg
9,2012,630,ED,M,6.603567034999998e-5,Mg
9,2012,631,ED,M,3.2079500000000003e-10,Mg
9,2012,640,ED,M,,Mg
9,2012,670,ED,M,,Mg
9,2012,690,ED,M,2.1221387900000003e-7,Mg
9,2012,691,ED,M,,Mg
9,2012,700,ED,M,1.574295436e-5,Mg
9,2012,720,ED,M,1.462188047e-6,Mg
9,2012,810,ED,M,9.829067289999999e-7,Mg
9,2012,811,ED,M,,Mg
9,2012,850,ED,M,3.95658011e-7,Mg
9,2012,852,ED,M,8.013838e-9,Mg
9,2012,853,ED,M,5.475839999999998e-10,Mg
9,2012,857,ED,M,2.00783e-10,Mg
9,2012,865,ED,M,5.5058116000000006e-8,Mg
9,2012,870,ED,M,3.5793635639999984e-4,Mg
9,2012,890,ED,M,2.518818729e-4,Mg
9,2012,970,ED,M,1.221675857e-4,Mg
9,2012,980,ED,M,9.603391975999999e-4,Mg
9,2012,1040,ED,M,3.419597461e-4,Mg
9,2012,1041,ED,M,,Mg
9,2012,1130,ED,M,3.046751476e-4,Mg
9,2012,1131,ED,M,,Mg
9,2012,1132,ED,M,5.1131450140000004e-5,Mg
9,2012,1142,ED,M,1.1441205e-7,Mg
9,2012,1152,ED,M,1.187990009e-4,Mg
9,2012,1153,ED,M,9.336032186999999e-5,Mg
9,2012,1158,ED,M,4.985005093e-5,Mg
9,2012,1159,ED,M,3.3643736879999996e-4,Mg
9,2012,1163,ED,M,9.237753286e-5,Mg
9,2012,1164,ED,M,,Mg
9,2012,1166,ED,M,9.37660411e-5,Mg
9,2012,1167,ED,M,,Mg
9,2012,1168,ED,M,5.84883e-10,Mg
9,2012,1180,ED,M,2.6153669999999997e-9,Mg
9,2012,1200,ED,M,8.737217490999999e-5,Mg
9,2012,1220,ED,M,0.0011823458245999998,Mg
9,2012,1221,ED,M,5.762300900000001e-8,Mg
9,2012,1230,ED,M,1.3884359e-12,Mg
9,2012,1240,ED,M,5.165751040000001e-7,Mg
9,2012,1301,ED,M,2.0341932e-8,Mg
9,2012,1320,ED,M,6.028102272e-4,Mg
9,2012,1340,ED,M,0.0016681005378,Mg
9,2012,1390,ED,M,0.0013633257567,Mg
9,2012,1391,ED,M,8.252424e-9,Mg
