EmissionID,Year,TechID,ETypeID,Value
13,2012,10,ET,0.113810862
13,2012,20,ET,9.89255e-7
13,2012,25,ET,0.077145822
13,2012,30,ET,6.623216817
13,2012,40,ET,14.47670397
13,2012,70,ET,2.258927383
13,2012,80,ET,764.0081997
13,2012,90,ET,0.992771302
13,2012,91,ET,7.26261e-17
13,2012,100,ET,40.66940472
13,2012,110,ET,103.0880621
13,2012,120,ET,93.3598579
13,2012,130,ET,4.361955573
13,2012,140,ET,1699.864077
13,2012,150,ET,1.958428546
13,2012,160,ET,66.04174812
13,2012,161,ET,1.903150695
13,2012,170,ET,260.4168145
13,2012,181,ET,224.4990788
13,2012,190,ET,0.703599735
13,2012,191,ET,1.650677784
13,2012,200,ET,843.6950366
13,2012,210,ET,0.333236083
13,2012,220,ET,13.25428617
13,2012,230,ET,80.36458216
13,2012,240,ET,96.36673292
13,2012,250,ET,0.475178165
13,2012,260,ET,744.7558716
13,2012,261,ET,0.153735572
13,2012,265,ET,883.8779029
13,2012,270,ET,0.221493595
13,2012,275,ET,2.8765200000000003e-18
13,2012,276,ET,0.0575638
13,2012,280,ET,14.4607686
13,2012,290,ET,47.43394363
13,2012,291,ET,0.321920931
13,2012,295,ET,43.52853607
13,2012,300,ET,92.4518711
13,2012,302,ET,0.124953201
13,2012,305,ET,65.00242254
13,2012,310,ET,0.095341242
13,2012,320,ET,146.9517861
13,2012,330,ET,0.044456806
13,2012,340,ET,5.713837006
13,2012,350,ET,25.06791265
13,2012,351,ET,2.90813e-5
13,2012,360,ET,53.78490101
13,2012,361,ET,0.080434369
13,2012,362,ET,3.19986e-4
13,2012,363,ET,611.5644763
13,2012,385,ET,3.42591e-9
13,2012,386,ET,0.023636685
13,2012,400,ET,27.9705338
13,2012,410,ET,0.631271153
13,2012,411,ET,0.258211804
13,2012,420,ET,1.5229299999999999e-21
13,2012,430,ET,0.002927745
13,2012,431,ET,0.586212961
13,2012,432,ET,1.77861e-15
13,2012,433,ET,1.90674e-15
13,2012,441,ET,3.1611e-16
13,2012,442,ET,0.605558576
13,2012,443,ET,4.24835e-15
13,2012,444,ET,5.72984e-15
13,2012,460,ET,0.022190043
13,2012,461,ET,36.93574305
13,2012,470,ET,9.74457e-5
13,2012,471,ET,13.1575663
13,2012,480,ET,2.63865e-19
13,2012,510,ET,3.5916500000000005e-18
13,2012,515,ET,0.529529389
13,2012,520,ET,3.59465e-16
13,2012,521,ET,6.27145e-16
13,2012,530,ET,2.49979e-16
13,2012,531,ET,7.20536e-16
13,2012,540,ET,3.06828e-16
13,2012,541,ET,9.69422e-16
13,2012,550,ET,4.69291e-16
13,2012,551,ET,4.92643e-16
13,2012,600,ET,7.152149999999999e-20
13,2012,610,ET,8.42998e-19
13,2012,611,ET,0.050063016
13,2012,620,ET,29.22021392
13,2012,630,ET,0.437079287
13,2012,631,ET,0.146730054
13,2012,640,ET,5.102757174
13,2012,641,ET,6.66439e-4
13,2012,660,ET,2.12721e-8
13,2012,670,ET,36.2541714
13,2012,680,ET,0.0193543
13,2012,690,ET,0.145054141
13,2012,691,ET,5.09323e-6
13,2012,700,ET,0.148598769
13,2012,720,ET,0.017301834
13,2012,730,ET,1.451018977
13,2012,810,ET,0.037369673
13,2012,811,ET,4.10512e-4
13,2012,850,ET,0.01390527
13,2012,852,ET,2.33357e-4
13,2012,853,ET,0.00456496
13,2012,854,ET,3.69388e-12
13,2012,857,ET,0.003570554
13,2012,865,ET,0.001603254
13,2012,870,ET,2.237737011
13,2012,890,ET,78.6272135
13,2012,970,ET,0.917938218
13,2012,980,ET,6.844058616
13,2012,981,ET,0.071866603
13,2012,991,ET,0.047800107
13,2012,1040,ET,7.424931139
13,2012,1041,ET,0.028156392
13,2012,1110,ET,8.63805e-9
13,2012,1130,ET,6.16194525
13,2012,1131,ET,0.041180412
13,2012,1132,ET,0.697919602
13,2012,1142,ET,0.001561669
13,2012,1150,ET,0.006360423
13,2012,1151,ET,0.208486836
13,2012,1152,ET,0.261015951
13,2012,1153,ET,5.218044461
13,2012,1158,ET,0.124156591
13,2012,1159,ET,0.92549781
13,2012,1163,ET,1.016476944
13,2012,1164,ET,0.019302947
13,2012,1166,ET,0.998207944
13,2012,1167,ET,0.007997812
13,2012,1168,ET,4.2697e-6
13,2012,1180,ET,3.15288e-5
13,2012,1200,ET,0.581765747
13,2012,1220,ET,243.6112501
13,2012,1221,ET,4.56421e-4
13,2012,1230,ET,1.46994e-5
13,2012,1240,ET,0.376536382
13,2012,1300,ET,5.43716e-8
13,2012,1301,ET,0.008766484
13,2012,1320,ET,4.637355117
13,2012,1340,ET,19.44103496
13,2012,1360,ET,0.00354112
13,2012,1365,ET,0.245637262
13,2012,1390,ET,40.81702944
13,2012,1391,ET,6.51473e-4
13,2012,1410,ET,0.59486395
13,2012,1450,ET,5.349191566
13,2012,1451,ET,22.77133361
13,2012,1452,ET,45.39113861
13,2012,1453,ET,56.84321706
13,2012,1460,ET,51.09830745
13,2012,1461,ET,0.01111439
13,2012,1462,ET,1.14261e-7
13,2012,1471,ET,214.2871499
13,2012,1510,ET,0.154141266
13,2012,1520,ET,0.600202522
