EmissionID,Year,TechID,ETypeID,ED_PFix,Value,Unit
14,2012,5804,ET,,1.5699212999999996e-8,Mg
14,2012,5812,ET,,8.206761421999997e-6,Mg
14,2012,5813,ET,,5.393182947999999e-6,Mg
14,2012,5814,ET,,7.097322643e-6,Mg
14,2012,5815,ET,,7.15854059e-7,Mg
14,2012,5816,ET,,3.19759e-10,Mg
14,2012,5824,ET,,1.80423e-10,Mg
14,2012,5825,ET,,9.18581e-9,Mg
14,2012,5833,ET,,1.9245739e-8,Mg
14,2012,5841,ET,,2.4861319999999998e-9,Mg
14,2012,5851,ET,,8.81741e-10,Mg
14,2012,5852,ET,,1.0597589999999998e-9,Mg
14,2012,5860,ET,,7.32971e-11,Mg
14,2012,5861,ET,,2.4427899999999995e-10,Mg
14,2012,5878,ET,,4.6643475e-8,Mg
14,2012,5879,ET,,2.196120999999999e-9,Mg
14,2012,5880,ET,,4.268031000000001e-8,Mg
14,2013,10,ET,,1.0980453199999999e-7,Mg
14,2013,20,ET,,2.06498e-12,Mg
14,2013,25,ET,,2.64505737e-7,Mg
14,2013,30,ET,,1.4737095669999998e-5,Mg
14,2013,40,ET,,3.981632809e-5,Mg
14,2013,70,ET,,2.464309654e-6,Mg
14,2013,80,ET,,0.00330563448,Mg
14,2013,90,ET,,1.086325346e-6,Mg
14,2013,91,ET,,1.04777e-11,Mg
14,2013,100,ET,,7.5789162e-5,Mg
14,2013,110,ET,,2.5224063099999996e-4,Mg
14,2013,120,ET,,2.496140533e-4,Mg
14,2013,130,ET,,4.757393795000002e-6,Mg
14,2013,140,ET,,0.006394826681000001,Mg
14,2013,150,ET,,2.1398304649999997e-6,Mg
14,2013,160,ET,,1.227425877e-4,Mg
14,2013,161,ET,,1.514543717e-4,Mg
14,2013,170,ET,,6.357937842000002e-4,Mg
14,2013,181,ET,,6.00151994e-4,Mg
14,2013,190,ET,,7.62234313e-7,Mg
14,2013,191,ET,,5.972281464000001e-5,Mg
14,2013,200,ET,,0.004306178854,Mg
14,2013,210,ET,,3.6036915599999995e-7,Mg
14,2013,220,ET,,2.4566816519999998e-5,Mg
