Year,TechID,JSTypeID,Value
2015,10,1,94951100.6474495
2015,10,2,69292522.9668617
2015,10,3,13176854.6998501
2015,25,1,19156357.2734594
2015,25,2,13979746.9601035
2015,25,3,2658426.7616272
2015,40,1,5046736240.38696
2015,40,2,3682960033.41675
2015,40,3,700361669.063568
2015,50,1,0.252626947139234
2015,50,2,0.184359735810879
2015,70,1,50844039.7679806
2015,70,2,52334759.3843937
2015,70,3,23164084.1811895
2015,80,1,371616512.537003
2015,80,2,382512092.590332
2015,80,3,169305101.037025
2015,81,1,33645633.6081028
2015,81,2,34632101.6550064
2015,81,3,15328644.7748542
2015,90,1,50176158.5474014
2015,90,2,51647298.0380058
2015,90,3,22859802.4696112
2015,91,1,5.3318003345737
2015,91,2,5.48812595368986
2015,91,3,2.42911979420057
2015,92,1,2276.71080210712
2015,92,2,2343.46271099639
2015,92,3,1037.24869404687
2015,100,1,50176158.5474014
2015,100,2,51647298.0380058
2015,100,3,22859802.4696112
2015,110,1,50176158.5474014
2015,110,2,51647298.0380058
2015,110,3,22859802.4696112
2015,120,1,50176158.5474014
2015,120,2,51647298.0380058
2015,120,3,22859802.4696112
2015,130,1,19304949.7902393
2015,130,2,19870959.2223167
2015,130,3,8795159.86889601
2015,140,1,290519058.704376
2015,140,2,299036949.872971
2015,140,3,132357850.670815
2015,150,1,19304949.7902393
2015,150,2,19870959.2223167
2015,150,3,8795159.86889601
2015,160,1,19304949.7902393
2015,160,2,19870959.2223167
2015,160,3,8795159.86889601
2015,161,1,68112.5166011043
2015,161,2,70109.534135554
2015,161,3,31031.4426315017
2015,162,1,19886.3963305485
2015,162,2,20469.455193961
2015,162,3,9060.06152945338
2015,170,1,19304949.7902393
2015,170,2,19870959.2223167
2015,170,3,8795159.86889601
2015,171,1,27568323.5377073
2015,171,2,28376612.8122807
2015,171,3,12559878.6398768
2015,181,1,19304949.7902393
2015,181,2,19870959.2223167
2015,181,3,8795159.86889601
2015,190,1,2188183.36725235
2015,190,2,2252339.61828053
2015,190,3,996916.438452899
2015,191,1,22281.0685954755
2015,191,2,22934.3386308756
2015,191,3,10151.0531749227
2015,192,1,6912.11153025506
2015,192,2,7114.77105141967
2015,192,3,3149.09516418993
2015,200,1,197241067.886353
2015,200,2,203024059.534073
2015,200,3,89861236.512661
2015,210,1,2188183.36725235
2015,210,2,2252339.61828053
2015,210,3,996916.438452899
2015,220,1,2188183.36725235
2015,220,2,2252339.61828053
2015,220,3,996916.438452899
2015,230,1,2188183.36725235
2015,230,2,2252339.61828053
2015,230,3,996916.438452899
2015,240,1,2188183.36725235
2015,240,2,2252339.61828053
2015,240,3,996916.438452899
2015,245,1,21915547.5497246
2015,245,2,22558098.6589193
2015,245,3,9984523.9892602
2015,250,1,5733988.24781179
2015,250,2,5902105.47670722
2015,250,3,2612353.06970775
2015,251,1,22694578.3942938
2015,251,2,23359971.1209536
2015,251,3,10339443.5718656
2015,260,1,187478348.612785
2015,260,2,192975103.855133
2015,260,3,85413433.611393
2015,265,1,331183522.939682
2015,265,2,340893656.015396
2015,265,3,150884211.063385
2015,266,1,36749769.0021992
2015,266,2,37827249.6163845
2015,266,3,16742860.8983755
2015,270,1,2032380.08543849
2015,270,2,2091968.43206882
2015,270,3,925933.942198753
2015,276,1,12074.3834486348
2015,276,2,12428.397894837
2015,276,3,5500.97956875106
2015,280,1,2032380.08543849
2015,280,2,2091968.43206882
2015,280,3,925933.942198753
2015,290,1,2032380.08543849
2015,290,2,2091968.43206882
2015,290,3,925933.942198753
2015,295,1,487146.549858153
2015,295,2,501429.429277778
2015,295,3,221939.553739503
2015,300,1,2032380.08543849
2015,300,2,2091968.43206882
2015,300,3,925933.942198753
2015,305,1,487146.549858153
2015,305,2,501429.429277778
2015,305,3,221939.553739503
2015,310,1,1465078.67611945
2015,310,2,1508034.06722844
2015,310,3,667476.560920477
2015,320,1,8614097.72187471
2015,320,2,8866658.43427181
2015,320,3,3924504.85378504
2015,321,1,2658839.33752775
2015,321,2,2736794.99514401
2015,321,3,1211343.10029447
2015,330,1,1465078.67611945
2015,330,2,1508034.06722844
2015,330,3,667476.560920477
2015,340,1,1465078.67611945
2015,340,2,1508034.06722844
2015,340,3,667476.560920477
2015,350,1,1465078.67611945
2015,350,2,1508034.06722844
2015,350,3,667476.560920477
2015,360,1,1465078.67611945
2015,360,2,1508034.06722844
2015,360,3,667476.560920477
2015,363,1,124206289.64901
2015,363,2,127847954.630852
2015,363,3,56587260.2164745
2015,364,1,3757.06940758391
2015,364,2,3867.22467737854
2015,364,3,1711.68676388334
2015,366,1,16561824.8283863
2015,366,2,17047408.9682102
2015,366,3,7545417.17469692
2015,400,1,1477978.89076173
2015,400,2,1521312.39883602
2015,400,3,673353.78844291
2015,401,1,656582.124065608
2015,401,2,675832.794513553
2015,401,3,299132.865620777
2015,461,1,4481871.14670873
2015,461,2,4613277.50235796
2015,461,3,2041899.83196557
2015,462,1,1864786.72549129
2015,462,2,1919461.18138731
2015,462,3,849579.86837253
2015,471,1,579286.541324109
2015,471,2,596270.896494389
2015,471,3,263917.696429417
2015,472,1,365463.230991736
2015,472,2,376178.417354822
2015,472,3,166501.733474433
2015,515,1,3674.60506822681
2015,515,2,3782.34244635678
2015,515,3,1674.11678830831
2015,611,1,19490.1731447317
2015,611,2,20061.6141228238
2015,611,3,8879.54593054019
2015,612,1,7998.41654952616
2015,612,2,8232.9252109048
2015,612,3,3644.00580110669
2015,620,1,7629550.06211996
2015,620,2,7853244.43131685
2015,620,3,3475953.82481813
2015,621,1,3762129.6942234
2015,621,2,3872433.44448507
2015,621,3,1713992.21289903
2015,630,2,12114628.2181144
2015,631,1,6621.99408907327
2015,631,2,6816.14710629219
2015,631,3,3016.92034554435
2015,632,1,2977.72635349247
2015,632,2,3065.03170577344
2015,632,3,1356.62514821888
2015,641,1,152.425229771325
2015,641,2,156.894259362161
2015,641,3,69.4435513537428
2015,642,1,278.09659286504
2015,642,2,286.250241288144
2015,642,3,126.698282088
2015,670,2,624130.363576114
2015,690,2,269747.368292883
2015,700,2,12114628.2181144
2015,720,2,12114628.2181144
2015,730,1,324295312.166214
2015,810,2,12114628.2181144
2015,811,2,1935.96702047216
2015,850,2,12114628.2181144
2015,857,2,157648.741151206
2015,865,2,1026082.20186085
2015,870,1,227405443.787575
2015,890,1,8888204574.58496
2015,970,1,227405443.787575
2015,980,1,227405443.787575
2015,981,1,22982086.9863033
2015,991,1,1302607.12467134
2015,1040,1,227405443.787575
2015,1050,3,70652134.7165108
2015,1051,3,70652134.7165108
2015,1110,1,266.527649728232
2015,1131,1,6080419.75647211
2015,1132,1,227405443.787575
2015,1142,1,10664920.322597
2015,1151,3,12529492.3782349
2015,1152,3,70652134.7165108
2015,1153,3,425053179.264069
2015,1158,3,70652134.7165108
2015,1159,3,70652134.7165108
2015,1163,3,70652134.7165108
2015,1167,3,1291840.68646282
2015,1168,3,70652134.7165108
2015,1180,3,17191.3889062125
2015,1200,1,107491023.83852
2015,1200,2,112809568.64357
2015,1200,3,53568866.1038876
2015,1220,1,255153894.424438
2015,1220,2,267778635.025024
2015,1220,3,127157628.536224
2015,1221,1,255138784.646988
2015,1221,2,267762780.189514
2015,1221,3,127150103.449821
2015,1222,1,42260840.5351639
2015,1222,2,44351864.606142
2015,1222,3,21060971.5431929
2015,1251,1,9956781.75240755
2015,1251,2,10449432.7679276
2015,1251,3,4962028.46989036
2015,1252,1,1674138.70804012
2015,1252,2,1756973.33179414
2015,1252,3,834318.168926984
2015,1261,1,9956781.75240755
2015,1261,2,10449432.7679276
2015,1261,3,4962028.46989036
2015,1262,1,1674138.70804012
2015,1262,2,1756973.33179414
2015,1262,3,834318.168926984
2015,1280,1,728867.657016963
2015,1280,2,764931.319281459
2015,1280,3,363236.060366035
2015,1301,1,9956781.75240755
2015,1301,2,10449432.7679276
2015,1301,3,4962028.46989036
2015,1302,1,1674138.70804012
2015,1302,2,1756973.33179414
2015,1302,3,834318.168926984
2015,1365,1,4269057.88481236
2015,1365,2,4480286.03568673
2015,1365,3,2127513.2894516
2015,1410,1,53745511.91926
2015,1410,2,56404784.321785
2015,1410,3,26784433.0519438
2015,1461,1,9956781.75240755
2015,1461,2,10449432.7679276
2015,1461,3,4962028.46989036
2015,1464,1,42266253.3819675
2015,1464,2,44357541.9485569
2015,1464,3,21063668.653369
2015,1471,1,255139678.71666
2015,1471,2,267763733.863831
2015,1471,3,127150550.484657
2015,1472,1,42260713.8752937
2015,1472,2,44351730.4956913
2015,1472,3,21060908.2132578
2015,1480,1,1674138.70804012
2015,1480,2,1756973.33179414
2015,1480,3,834318.168926984
2015,1510,1,9956781.75240755
2015,1510,2,10449432.7679276
2015,1510,3,4962028.46989036
2015,1511,1,1674138.70804012
2015,1511,2,1756973.33179414
2015,1511,3,834318.168926984
2015,1520,1,20882928.7439585
2015,1520,2,21916195.7502365
2015,1520,3,10407146.9977498
2015,1530,1,73895007.3719025
2015,1530,2,77551260.5905533
2015,1530,3,36826066.672802
2015,1541,1,2689829.32902873
2015,1541,2,2822919.28306222
2015,1541,3,1340494.37474459
2015,1542,1,559656.298719347
2015,1542,2,587347.545661032
2015,1542,3,278908.43921341
2015,1552,1,2689829.32902873
2015,1552,2,2822919.28306222
2015,1552,3,1340494.37474459
2015,1553,1,559656.298719347
2015,1553,2,587347.545661032
2015,1553,3,278908.43921341
2015,1560,1,20882928.7439585
2015,1560,2,21916195.7502365
2015,1560,3,10407146.9977498
2015,1570,1,20882928.7439585
2015,1570,2,21916195.7502365
2015,1570,3,10407146.9977498
2015,1590,1,20882928.7439585
2015,1590,2,21916195.7502365
2015,1590,3,10407146.9977498
2015,1592,1,2689829.32902873
2015,1592,2,2822919.28306222
2015,1592,3,1340494.37474459
2015,1603,1,129154.213936999
2015,1603,2,135544.629301876
2015,1603,3,64364.8600089364
2015,1610,1,20882928.7439585
2015,1610,2,21916195.7502365
2015,1610,3,10407146.9977498
2015,1612,1,73893263.9360428
2015,1612,2,77549427.7477264
2015,1612,3,36825198.6801624
2015,1613,1,2689829.32902873
2015,1613,2,2822919.28306222
2015,1613,3,1340494.37474459
2015,1615,1,15420686.4535809
2015,1615,2,16183685.5113506
2015,1615,3,7685001.47387385
2015,1640,1,199206665.158272
2015,1640,2,209063202.142715
2015,1640,3,99275968.9688683
2015,1670,1,53527.4739377201
2015,1670,2,56175.9588890709
2015,1670,3,26675.772460294
2015,1675,1,129238352.179527
2015,1675,2,135632932.186127
2015,1675,3,64406789.8392677
2015,1680,1,4736372.26969004
2015,1680,2,4970723.29744697
2015,1680,3,2360402.60642767
2015,1682,1,53527.4739377201
2015,1682,2,56175.9588890709
2015,1682,3,26675.772460294
2015,1685,1,4736372.26969004
2015,1685,2,4970723.29744697
2015,1685,3,2360402.60642767
2015,1690,1,27027351.7817259
2015,1690,2,28364637.8666162
2015,1690,3,13469260.185957
2015,1702,1,1790.98174157843
2015,1702,2,1843.49244136683
2015,1702,3,815.955047528405
2015,1721,1,4736372.26969004
2015,1721,2,4970723.29744697
2015,1721,3,2360402.60642767
2015,1722,1,1005796.13354057
2015,1722,2,1055561.82097644
2015,1722,3,501245.202030987
2015,1732,1,4736372.26969004
2015,1732,2,4970723.29744697
2015,1732,3,2360402.60642767
2015,1733,1,1005796.13354057
2015,1733,2,1055561.82097644
2015,1733,3,501245.202030987
2015,2010,4,0.354851203976381
2015,2020,4,2512040.78085721
2015,2030,4,7116821.12887502
2015,2040,4,0.535446076366242
2015,2050,4,1120153.11606228
2015,2070,4,3660176.88065767
2015,2080,4,4271768.49916577
2015,2090,4,578189.035877585
2015,2100,4,5066546.61148787
2015,2110,4,19244013.3541822
2015,2120,4,7177813.90994787
2015,2130,4,10113323.1073618
2015,2140,4,1949532.53958374
2015,2150,4,1170206.69858903
2015,2160,4,3043022.70524204
2015,2170,4,1613530.09752929
2015,2180,4,291418.982669711
2015,2190,4,1271095.24328262
2015,2210,4,1667178.81802469
2015,2240,4,1137394.57447082
2015,2250,4,7179108.91398788
2015,2270,4,1169015.30418545
2015,2300,4,186165.72197061
